"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header"
"ICE Actual RPM","ICE Rev","010C","(64*A) + (0.25*B)","0","5000","rpm","7E0"
"MG2 Revolution","MG2 Rev","21C3","((256 * A) + B) - 16383","-2000","7000","RPM","7E2"
"MG1 Revolution","MG1 Rev","21C3","((256 * G) + H) - 16383","-13000","13000","RPM","7E2"
"Target Engine Speed","Targ ICE Spd","21C3","(256 * M) + N","0","8000","RPM","7E2"
"Engine Speed","ICE Spd","21C3","(256 * O) + P","0","8000","RPM","7E2"
"Friction Brake Power (kW)","F-Brake Power","21C3","(((256 * A) + B) - 16383) * ((4*R - 512) + (4*E)) / 9549","0","200","kW","7E2"
"State Of Charge","HV SOC","21C3","0.392 * S","40","80","%","7E2"
"WOUT HV Batt to Converter","HV Pwr Out","21C3","320 * T","0","21","kW","7E2"
"WIN HV Batt to Converter","HV Pwr In","21C3","U - 40800","-25","0","kW","7E2"
"Discharge Request to Adjust SOC","HV Out Req","21C3","V - 20480","-20480","20320","Watt","7E2"
"Drive Condition ID","Drive Condition","21C3","X","0","6","Num","7E2"
"MG1 Inverter Temperature","MG1 Inv Temp","21C3","Y - 50","-50","205","C","7E2"
"MG2 Inverter Temperature","MG2 Inv Temp","21C3","Z - 50","-50","205","C","7E2"
"Motor Temperature No2","MG1 Temp","21C3","AA - 50","-50","205","C","7E2"
"Motor Temperature No1","MG2 Temp","21C3","AB - 50","-50","205","C","7E2"
"Power Resource VB","HV VB","21C3","2 * AC","150","300","Volt","7E2"
"Power Resource IB","HV IB","21C3","2 * AE - 256","-100","100","Amp","7E2"
"Accelerator Pedal Angle","Accel Deg","21C4","0.392 * C","0","100","%","7E2"
"VL-Voltage Before Boosted","HV Before Boost","21C4","2 * D","0","510","Volt","7E2"
"VH-Voltage After Boosted","HV After Boost","21C4","2 * E","0","765","Volt","7E2"
"Converter Temperature","Conv Temp","21C4","F - 50","-50","205","C","7E2"
"Crank Position","Crank Position","21C4","0.706 * G","0","100","Degree","7E2"
"System Main Relay 1 Status","Relay1 Status","21C4","{H:0}","0","1","Bin","7E2"
"System Main Relay 2 Status","Relay2 Status","21C4","{H:1}","0","1","Bin","7E2"
"System Main Relay 3 Status","Relay3 Status","21C4","{H:2}","0","1","Bin","7E2"
"Converter Carrier Frequency","Conv Carrier","21C4","{I:0}","0","1","Bin","7E2"
"Smart Key Status","SKS","21C4","{I:2}","0","1","Bin","7E2"
"Aircon Gate Status","AC Gate","21C4","{I:4}","0","1","Bin","7E2"
"Converter Gate Status","Conv Gate","21C4","{I:5}","0","1","Bin","7E2"
"MG2 Gate Status","MG2 Gate","21C4","{I:6}","0","1","Bin","7E2"
"MG1 Gate Status","MG1 Gate","21C4","{I:7}","0","1","Bin","7E2"
"Motor (MG2) Torque Execute Value","MG2 Torq Exc","21C4","4 * J - 512","-512","508","Nm","7E2"
"Motor (MG1) Torque Execute Value","MG1 Torq Exc","21C4","4 * K - 512","-512","508","Nm","7E2"
"Short Circuit Wave Highest Value","SCW High","21C4","0.019608 * L","0","5","Volt","7E2"
"Raising Pressure Ratio","Pressure Ratio","21C4","0.392 * O","0","100","%","7E2"
"Aircon Consumption Power","AC Power","21C4","0.019608 * P","0","5","kW","7E2"
